@lat	@lon	name	addr:street	addr:housenumber	addr:postcode	addr:city	building	religion	denomination
47.3719367	8.5208660	Synagoge Agudas Achim	Erikastrasse	8	8003	Zürich		jewish	
47.3750340	8.5276943	Evangelisch Methodistische Kirche						christian	methodist
47.4029825	8.5741516	Kirchgemeindehaus						christian	reformed
47.3693653	8.5533266	Mission catholique de langue française	Hottingerstrasse	36	8032	Zürich		christian	roman_catholic
47.3694834	8.5532663	Couvent St-Nicolas de Myre	Hottingerstrasse	36	8032	Zürich		christian	roman_catholic
47.3734659	8.5258943	Adventgemeinde	Cramerstrasse	11	8004	Zürich		christian	seventh_day_adventist
47.3756033	8.5450021	Gemeinde für Christus						christian	
47.3932241	8.4749168	Zoe Gospel Center						christian	
47.3671988	8.5228591	Beis Midrasch Zichron Moische	Zelgstrasse	2				jewish	
47.3780431	8.5402857	Bahnhofkirche						christian	
47.3776941	8.5315119	Islamisches Zentrum			8004			muslim	
47.3696531	8.5115100	Islamisches Kulturzentrum						muslim	
47.3817930	8.4907493	Albanisch-Islamische Gemeinschaft Zürich	Rautistrasse	58	8047	Zürich		muslim	
47.3800315	8.4887951	FreiRaum						christian	protestant
47.3948626	8.5331339	Stiftung Islamische Gemeinschaft Zürich	Rötelstrasse	86	8057	Zürich		muslim	
47.3898219	8.5396647	Madni Masjid Zurich	Weinbergstrasse	147	8006	Zürich		muslim	sunni
47.3795975	8.5450667	Liebfrauenkirche	Weinbergstrasse	32	8006	Zürich	yes	christian	catholic
47.3739659	8.5290056	St. Jakob	Stauffacherstrasse	34	8004	Zürich	yes	christian	reformed
47.4045785	8.5490348	Christuskirche	Friedheimstrasse	4	8057	Zürich	church	christian	
47.4203456	8.5411940	Markus-Kirche	Höhenring	56	8052	Zürich	church	christian	protestant
47.3842635	8.4883293	Katholische Kirche Heilig Kreuz	Saumackerstrasse	83	8048		church	christian	catholic
47.3432047	8.5309707	St. Franziskus	Albisstrasse	49			church	christian	catholic
47.3710894	8.5407480	St. Peter	St. Peterhofstatt	1	8001	Zürich	church	christian	protestant
47.3947712	8.5271876	Kirche Guthirt	Nordstrasse	250	8037	Zürich	church	christian	roman_catholic
47.3968633	8.5276014	Kirche Wipkingen	Wibichstrasse	43	8037	Zürich	church	christian	protestant
47.4155475	8.5121250	Kirche St. Katharina	Wehntalerstrasse	451	8046	Zürich	church	christian	catholic
47.3625477	8.5297261	Kirche Enge	Bürglistrasse	15	8002	Zürich	church	christian	protestant
47.3810565	8.5135835	Katholische Kirche St. Felix und Regula	Hirzelstrasse	16			church	christian	roman_catholic
47.3941790	8.5432772	Paulus	Milchbuckstrasse	61	8057	Zürich	church	christian	united_reformed
47.4006339	8.4990416	Sonnegg Kapelle	Bauherrenstrasse	44	8049		yes	christian	evangelical
47.4012871	8.5029944	Heilig Geist	Brunnwiesenstrasse	57			yes	christian	catholic
47.3721527	8.5277410	St. Peter und Paul	Werdstrasse	63	8004	Zürich	church	christian	catholic
47.3688109	8.5299754	Synagoge IRGZ	Freigutstrasse	37	8001	Zürich	yes	jewish	
47.3893890	8.5312139	Kirche Letten	Imfeldstrasse	51	8037	Zürich	yes	christian	protestant
47.4198581	8.5471048	Kirche Maria Lourdes	Schaffhauserstrasse	465	8052	Zürich	church	christian	catholic
47.3685543	8.5501825	Methodisten-Kirche	Promenadengasse	4	8001	Zürich	yes	christian	methodist
47.3680960	8.5499116	Église réformée française	Schanzengasse	25	8001	Zürich	church	christian	protestant
47.3703512	8.5618371	Kreuzkirche	Dolderstrasse	58	8032	Zürich	church	christian	protestant
47.3702870	8.5543955	Bethel-Kapelle					yes	christian	
47.3702992	8.5535184	Baptistengemeinde	Steinwiesstrasse	34	8032	Zürich	yes	christian	baptist
47.3738890	8.5454925	Predigerkirche	Predigerplatz	1	8001	Zürich	church	christian	protestant
47.3770066	8.5567886	Grosse Kirche Fluntern	Gellertstrasse	1	8044	Zürich	church	christian	
47.3758351	8.5593725	Alte Kirche Fluntern	Gloriastrasse	100	8044	Zürich	yes	christian	lutheran
47.3783786	8.5649155	St. Martin	Krähbühlstrasse	48	8044	Zürich	yes	christian	roman_catholic
47.3787363	8.5016889	Andreaskirche	Brahmsstrasse	106	8003	Zürich	church	christian	protestant
47.3604163	8.5584532	Kirche Neumünster	Neumünsterstrasse	10	8008	Zürich	church	christian	protestant
47.3701027	8.5439722	Grossmünster	Grossmünsterplatz		8001	Zürich	church	christian	reformed
47.3790181	8.5231485	Don Bosco	Hohlstrasse	98	8004	Zürich	church	christian	catholic
47.3867806	8.5277758	Pfarrkirche St. Joseph	Heinrichstrasse	132	8005	Zürich	church	christian	roman_catholic
47.3717763	8.5152680	Zwinglihaus	Aemtlerstrasse	25	8003	Zürich	church	christian	evangelical
47.3746359	8.5464654	Friedenskirche	Hirschengraben	52	8001	Zürich	yes	christian	
47.3740483	8.4963324	Kirche St. Konrad	Fellenbergstrasse	231b	8047	Zürich	church	christian	roman_catholic
47.4244838	8.5089176	Alte Kirche Affoltern	Zehntenhausstrasse	94	8046	Zürich	church	christian	
47.4090738	8.5294050	Allerheiligen	Wehntalerstrasse	220			church	christian	catholic
47.3997366	8.5328348	Christliches Zentrum Buchegg	Hofwiesenstrasse	143	8057	Zürich	church	christian	pentecostal
47.4045064	8.5339088	Evangelische-reformierte Kirchgemeinde Matthäus					church	christian	protestant
47.4050034	8.5336603	Evangelische-reformierte Kirchgemeinde Matthäus					yes	christian	protestant
47.4246023	8.5427696	Neuapostolische Kirche Zürich-Seebach	Hertensteinstrasse	27			church	christian	new_apostolic
47.4228794	8.5427689	Niklauskirche					church	christian	protestant
47.3744439	8.4837114	Alte Kirche Albisrieden	Albisriederstrasse	391			church	christian	protestant
47.3419384	8.5322625	Kirche Auf der Egg	Auf der Egg	11			church	christian	protestant
47.3896850	8.4723736	Kirche Suteracher	Am Suteracher	2	8048	Zürich	church	christian	
47.3809116	8.4948995	Neuapostolische Kirche Zürich-Albisrieden	Anemonenstrasse	41			yes	christian	new_apostolic
47.4020417	8.5792394	Kirche St. Gallus	Dübendorfstrasse	70	8051	Zürich	church	christian	roman_catholic
47.3679501	8.5167970	Kirche Bühl	Goldbrunnenstrasse	54	8055	Zürich	church	christian	protestant
47.3838063	8.5334236	Johanneskirche					church	christian	reformed
47.4067967	8.5519140	Kirche Herz Jesu	Schwamendingenstrasse	57			church	christian	
47.4062220	8.5532412	Kapelle	Schwamendingenstrasse	69			chapel	christian	
47.3654850	8.5572073	St. Anton	Neptunstrasse	68	8032	Zürich	church	christian	roman_catholic
47.3693188	8.5196999	Bethaus Wiedikon					yes	christian	evangelical
47.3733944	8.5224596	Dreifaltigkeitskirche	Elisabethenstrasse	20b	8004	Zürich	yes	christian	orthodox
47.4084289	8.5420267	Evangelisch-Methodistische Kirche	Regensbergstrasse	148	8050	Zürich	church	christian	methodist
47.3734479	8.5351273	Synagoge ICZ Löwenstrasse	Löwenstrasse	10	8001	Zürich	yes	jewish	
47.3727574	8.5367990	St. Anna-Kapelle	St. Annagasse	11	8001	Zürich	church	christian	reformed
47.4061283	8.5462738	Kirche Oerlikon	Oerlikonerstrasse	99	8057	Zürich	church	christian	
47.4079407	8.5446014	Siebenten-Tags-Adventisten	Gubelstrasse	21	8050	Zürich	yes	christian	
47.3718080	8.5394106	Augustinerkirche	Münzplatz	2			church	christian	catholic
47.4047487	8.5557991	Diyanet Moschee Zürich Nord	Schwamendingenstrasse	102	8051	Zürich	yes	muslim	
47.4036588	8.5741416	Alte Kirche St. Niklaus	Stettbachstrasse	57	8051	Zürich	church	christian	evangelical
47.3697146	8.5412015	Fraumünster	Münsterhof	2	8001	Zürich	church	christian	protestant
47.3871702	8.5342571	Heiliger Dimitrios	Rousseaustrasse	17a	8037	Zürich	church	christian	greek_orthodox
47.3942004	8.5445023	Bruder Klaus	Milchbuckstrasse	75	8057	Zürich	church	christian	roman_catholic
47.4015568	8.5853120	Stefanskirche	Altwiesenstrasse	172	8051		church	christian	protestant
47.3547672	8.5612302	Erlöserkirche	Zollikerstrasse	158	8008	Zürich	church	christian	catholic
47.3854585	8.5412938	Evangelisch-Lutherische Kirche Zürich	Kurvenstrasse	39	8006	Zürich	church	christian	lutheran
47.3873786	8.5419463	Kirche Unterstrass	Turnerstrasse	47	8006	Zürich	yes	christian	protestant
47.3824848	8.5464814	Russisch-Orthodoxe Auferstehungskirche	Narzissenstrasse	10	8006	Zürich	yes	christian	orthodox
47.3839096	8.5468111	Kirche Oberstrass	Stapferstrasse	58	8006	Zürich	yes	christian	protestant
47.3444746	8.5295730	Evangelische-methodistische Kirche	Mutschellenstrasse	188			yes	christian	methodist
47.3432364	8.5328816	Alte Kirche Wollishofen	Kilchbergstrasse	13			church	christian	protestant
47.3696315	8.5431996	Wasserkirche	Limmatquai	31	8001	Zürich	church	christian	protestant
47.4257660	8.5099599	Freikirche der Siebenten-Tags-Adventisten Gemeinde Wolfswinkel	Wolfswinkel	36	8046	Zürich	yes	christian	seventh_day_adventist
47.3687733	8.5543420	Neuapostolische Kirche Zürich-Hottingen			8032	Zürich	church	christian	new_apostolic
47.3835268	8.5292726	Heilsarmee Open Heart	Luisenstrasse	23	8005	Zürich	apartments	christian	evangelical
47.3726057	8.5629084	Hare Krishna Tempel	Bergstrasse	54	8032	Zürich	yes	hindu	hare_krishna
47.3686602	8.5494712	Englische Kirche	Promenadengasse	9	8001		yes	christian	anglican
47.3551590	8.5749144	Mahmud Moschee	Forchstrasse	323	8008	Zürich	mosque	muslim	ahmadiyya
47.3549925	8.5738464	Reformierte Kirche Zürich-Balgrist	Lenggstrasse	75	8008	Zürich	church	christian	reformed
47.4072635	8.5652858		Herbstweg	120	8050		church	christian	
47.4102891	8.5640759	Reformiertes Kirchenzentrum Saatlen					church	christian	evangelical
47.3578934	8.5867086	Neue reformierte Kirche Witikon	Witikonerstrasse	292	8053	Zürich	church	christian	
47.3564399	8.5907929	Kirche Maria Krönung	Carl-Spitteler-Strasse	44a	8053	Zürich	church	christian	
47.3613644	8.5299766	Kirche Dreikönigen	Schulhausstrasse	20	8002	Zürich	church	christian	catholic
47.3575752	8.5946183	Alte reformierte Kirche Witikon	Berghaldenstrasse	51	8053	Zürich	church	christian	
47.3726813	8.5142379	Herz Jesu Wiedikon	Aemtlerstrasse	49	8003	Zürich	church	christian	catholic
47.3866785	8.4850491	Alte Kirche Altstetten	Pfarrhausstrasse	17	8048	Zürich	church	christian	
47.3703000	8.5448515	Grossmünsterkapelle					yes	christian	protestant
47.3866070	8.4845561	Kirche Altstetten	Pfarrhausstrasse	21	8048	Zürich	church	christian	methodist
47.3761623	8.4922707	Kirche Albisrieden	Ginsterstrasse	48			yes	christian	reformed
47.3705720	8.5060103	Thomaskirche im Gut	Burstwiesenstrasse	40	8055	Zürich	church	christian	protestant
47.3645044	8.5642717	Klus Park Kapelle					chapel	christian	
47.3610853	8.5046499	St. Theresia	Borrweg	78	8055	Zürich	church	christian	
47.4015476	8.4968873	Kirche Höngg	Am Wettingertobel	40		Zürich	yes	christian	protestant
47.4200653	8.5071192	Neuapostolische Kirche Zürich-Affoltern	In Böden	180			church	christian	new_apostolic
47.3329844	8.5176305	Kirche Maria-Hilf						christian	roman_catholic
47.3327044	8.5160480	Kirche Leimbach						christian	protestant
47.3656264	8.5530624	Kirche Christi Wissenschafter						christian	christ_scientist
47.4145791	8.5186354	Kirchliches Zentrum Neuaffoltern Glaubten	Riedenhaldenstrasse	1			church	christian	
47.3705538	8.5058071	Thomaskirche im Gut						christian	protestant
47.3607121	8.5059013	Friesenberg						christian	

